國文,英文,數學,社會,自然
14,8,10,6,13
12,6,13,10,13
11,14,10,10,9
10,12,10,12,9
6,6,8,9,9
12,11,13,6,11
11,15,15,12,9
15,11,9,9,11
9,10,8,11,6
9,9,11,12,9
9,7,6,13,10
13,13,14,15,10
13,11,10,10,13
8,12,15,8,8
8,13,9,9,9
8,12,7,15,12
8,8,8,10,15
12,11,7,8,12
15,13,13,7,13
11,14,7,8,11
12,12,13,10,14
6,13,12,11,15
6,8,9,12,8
13,7,6,7,13
14,8,7,9,15
11,14,13,8,9
7,9,6,9,7
6,9,12,10,15
10,15,6,6,15
7,15,8,9,6
6,14,8,11,9
10,13,8,15,15
7,11,6,8,6
6,11,15,10,7
12,10,15,9,6
12,13,14,11,11
10,6,9,14,12
13,10,9,13,14
12,7,10,6,12
14,12,14,6,15
10,12,15,11,7
11,14,13,11,13
6,9,11,7,11
12,7,14,12,10
9,13,8,7,10
14,13,15,8,8
7,9,10,11,9
13,15,14,9,11
13,12,11,12,6
12,9,11,13,11
8,13,13,11,15
9,12,13,12,8
11,11,13,8,9
6,11,6,8,9
15,13,9,13,14
8,13,14,8,15
15,6,14,15,11
11,11,6,10,8
9,7,15,14,10
13,10,14,7,6
12,13,14,12,15
7,13,11,10,13
6,6,12,15,12
13,6,14,11,11
11,14,6,6,10
12,8,13,6,9
14,6,6,12,13
14,10,11,14,10
7,6,11,8,7
13,7,8,12,9
14,7,13,13,12
14,14,15,7,11
8,15,6,8,11
7,12,11,15,8
15,12,9,13,6
13,13,14,11,12
6,12,10,10,9
10,10,15,11,11
8,9,9,11,9
14,15,11,6,11
15,6,10,12,7
11,11,10,7,10
7,10,9,8,6
7,9,8,11,6
15,15,13,6,11
7,9,8,8,9
8,13,14,12,10
6,11,6,8,15
7,13,10,11,15
8,7,8,13,14
10,14,7,15,11
14,14,8,9,9
8,13,13,8,7
10,10,15,6,15
13,14,7,14,7
15,9,15,11,11
7,6,6,11,7
13,13,10,13,10
9,13,12,8,11
12,13,13,15,13
